"word";"in documents";"total"
"Apa";2;2
"April–Oct";1;1
"August";3;3
"BEAT";2;2
"Bahnhofplatz";1;1
"Basel";3;3
"Bellinzona";1;1
"Bern";1;1
"Black";1;1
"Bond";1;1
"Book";3;3
"Books";2;2
"Bourbaki’s";1;1
"Budget";1;1
"Byron";1;1
"Bâle";1;1
"Caribbean";1;1
"Castle";1;1
"Central";1;1
"CheckConnection";2;2
"Chillon";1;1
"Conditions";1;1
"Copyright";1;1
"Dam";1;1
"Digital";2;2
"Eiffel";1;1
"Eiger";2;2
"Europe";3;3
"Europe’s";2;2
"Europe”";1;1
"Explore";2;2
"Falls";2;2
"Features";2;2
"February";1;1
"Forest";1;1
"France";2;2
"Franco-Prussian";1;1
"French";2;2
"GALX";2;2
"GAPS";2;2
"GGB";1;1
"General";1;1
"Geneva";5;6
"German";1;1
"Germany";2;2
"Gimmelwald";1;1
"GoogleAccounts";2;2
"Gornergrat-Bahn";1;1
"Grand";1;1
"Gras";1;1
"Group";1;1
"Guide";15;15
"Guides";16;16
"HSID";2;2
"Heritage";1;1
"Historisches";1;1
"In-depth";1;1
"Interlaken";4;4
"Italy";2;2
"It’s";1;1
"James";1;1
"July";1;1
"Jungfrau";4;4
"Jungfraujoch";1;1
"KKL";1;1
"Kingdom";1;1
"Klee";1;1
"Kunstmuseum";1;1
"LSID";2;2
"LSOSID";2;2
"Lac";1;1
"Lake";3;4
"Laufen";2;2
"Lausanne";2;2
"Lauterbrunnen";2;2
"Lifts";1;1
"Locale_session";2;2
"Locarno";2;2
"London";1;1
"Lucerne";2;2
"Lugano";1;1
"Luzern";2;2
"Léman";1;1
"Mardi";1;1
"Marketing";1;1
"Matterhorn";4;4
"Milan";1;1
"Mill";1;1
"Monday";1;1
"Mor65_Mauro";1;1
"Museum";3;3
"Museé";1;1
"Mönch";1;1
"Münster";1;1
"Mürren";3;3
"NID";2;2
"Neuhausen";1;2
"Northeast";1;1
"Old";5;5
"Olympic";1;1
"Ost";1;1
"Ouchy";1;1
"Overrun";1;1
"PREF";2;2
"Picasso";1;1
"Piccardi/Shutterstock";1;1
"Pilatusstrasse";1;1
"Place";1;1
"Policy";1;1
"Pont";1;1
"Privacy";1;1
"RMME";2;2
"Region";2;2
"Renaissance";2;2
"Rheinfall";1;1
"Rhine";5;5
"River";1;1
"Romande";1;1
"Romantic";1;1
"Rough";14;14
"Rue";1;1
"S";2;2
"SAPISID";2;2
"SE1";1;1
"SID";2;2
"SSID";2;2
"Schaffhausen";1;2
"Schilthorn";3;3
"Schloss";1;1
"Schlössli";1;1
"Siebnen";1;1
"Sign";3;3
"Snapshot";3;3
"Sphinx";1;1
"St-François";2;2
"Statistic";1;1
"Street";1;1
"Suisse";1;1
"Switzerland";169;192
"Switzerland’s";5;5
"TempCookie703";2;2
"Terms";1;1
"Terrace";1;1
"Tessin";1;1
"Ticino";2;3
"Ticino’s";1;1
"Toblerone";1;1
"Touted";1;1
"Tower";1;1
"Town";5;5
"Travel";13;13
"UNESCO’s";1;1
"United";1;1
"Valle";1;1
"Verzasca";2;2
"Via";1;1
"War";1;1
"Western";1;1
"World";1;1
"Wörth";1;1
"Zentrum";1;1
"Zermatt";4;4
"Zermatt’s";2;2
"Zürich";4;4
"AG";2;2
"America";1;1
"Anyone";1;1
"Apa";2;2
"April–";1;1
"April–Oct";1;1
"Art";1;1
"Article";1;1
"Aug";3;3
"Auschwitz";2;2
"Austria";1;1
"BEAT";2;2
"Bahnhofplatz";1;1
"Bapist";1;1
"Baroque";2;2
"Belgium";1;1
"Berlin–Warsaw";1;1
"Block";1;1
"Book";4;4
"Books";2;2
"Boom";1;1
"Britain";1;1
"Bruges";2;2
"Budget";3;3
"Buses";1;1
"Caribbean";1;1
"Cathedral";1;1
"Central";2;2
"Centralna";1;1
"CheckConnection";2;2
"Church";1;1
"Communism";1;1
"Communist-era";1;1
"Conditions";1;1
"Contemporary";1;1
"Copyright";1;1
"Culture";2;2
"Czartoryski";1;1
"Dec";1;1
"Digital";2;2
"D?ugi";1;1
"Earth";1;1
"East";1;1
