"word";"in documents";"total";"att_1"
"comba";1;3;
"combin";1;1;
"comfort";10;12;
"command";1;1;
"commerc";2;2;
"commerci";2;3;
"commiss";1;1;
"commonplac";1;1;
"commun";2;3;
"compact";3;4;
"compadr";1;3;
"companhia";1;1;
"compani";2;4;
"competit";10;12;
"complement";1;1;
"complet";6;10;
"complex";2;3;
"comporta";1;1;
"compostela";1;1;
"compound";1;1;
"comprehens";5;5;
"compromis";1;1;
"conceicao";1;1;
"conceição";2;2;
"concentr";1;1;
"concentração";1;1;
"concern";1;1;
"concert";3;7;
"concret";1;1;"0.0956077047468653"
"cond";1;6;
"condit";10;13;
"conduct";1;1;
"confect";1;1;
"conflagr";1;1;
"confluenc";2;2;
"conqueror";1;1;
"consent";10;10;
"conservatori";1;1;
"consid";2;4;
"contemporari";2;5;
"contemporânea";1;1;
"contest";1;1;
"continu";10;20;
"contour";1;1;
"contract";1;1;
"controversi";1;2;
"conveni";1;1;
"convent";4;6;
"converg";1;1;
"convers";1;2;
"convert";1;1;
"convolut";1;1;
"conímbriga";1;1;
"cook";5;7;
"cooki";10;40;
"cooler";2;3;
"copyright";10;10;
"core";1;1;
"cork";3;23;
"corn";1;1;
"corner";2;2;
"coroada";1;1;
"coronaviru";10;10;
"cosmand";1;1;
"cosset";1;2;
"costa";3;4;
"costum";1;1;
"cottag";3;3;
"coudelaria";1;3;
"council";2;3;
"count";1;1;
"counterfeit";1;1;
"countri";8;32;
"countrysid";2;4;
"coupl";6;17;
"cours";4;9;
"court";2;2;
"courtyard";1;1;
"cove";3;6;
"cover";6;9;
"covilhã";1;5;
"covo";1;1;
"coxo";1;1;
"cp";1;1;
"craft";7;11;
"crag";2;2;
"craggi";2;2;
"cram";1;1;
"crash";1;2;
"crater";1;1;
"crawl";1;1;
"creation";1;1;
"crenel";1;1;
"crew";2;2;
"crime";2;2;
"cristal";1;1;
"crop";1;3;
"cross";5;15;
"crossov";1;1;
"crow";1;1;
"crowd";5;7;
"crown";1;1;
"cruis";1;10;
"cruiser";1;1;
"crumbl";1;1;
"crusad";2;3;
"crush";1;1;
"cruz";1;1;
"cryptoporticu";1;1;
"culatra";1;1;
"cult";1;1;
"cultiv";3;3;
"cultur";7;15;
"cultura";2;2;
"cum";1;1;
"cure";1;1;
"curiou";2;2;
"curta";1;1;
"curv";2;2;
"custom";2;2;
"cut";2;3;
"cycl";3;6;
"câo";1;1;
"cónego";1;1;
"côa";1;13;
"côvo";1;3;
"d";3;7;
"dai";9;64;
"daili";3;6;
"dair";1;1;
"damag";1;1;
"danc";4;4;
"danger";2;2;
"dangl";1;1;
"dark";1;1;
"data";10;10;
"date";8;17;
"datr";10;20;
"david";1;1;
"davidson";1;1;
"dawn";1;2;
"dazzl";5;6;
"deal";2;2;
"death";1;1;
"debat";1;1;
"decad";4;4;
"decemb";1;1;
"decid";1;1;
"decidu";1;1;
"decker";1;1;
"declar";2;5;
"deco";1;1;
"decor";5;11;
"decorativa";1;2;
"dedic";3;4;
"deed";1;1;
"deepli";1;1;
"deer";1;1;
"defens";1;2;
"defin";1;3;
"definit";2;3;
"degre";4;11;
"delight";6;8;
"demarc";3;6;
"demonstr";1;2;
"densiti";2;2;
"dentro";1;1;
"depart";2;2;
"departur";1;1;
"depopul";1;1;
"depth";10;11;
"descend";4;6;
"descent";1;1;
"describ";1;2;
"descript";1;1;
"deselect";10;10;
"desert";1;2;
"design";4;4;
"despair";1;1;
"dessert";1;1;
"desterro";1;1;
"destin";2;3;
"destruct";1;1;
"detail";4;6;
"determin";1;1;
"detour";1;1;
"deu";1;1;
"dictat";1;1;
"dictionari";6;6;
"digit";10;20;
"dine";1;1;
"dini";2;2;
"dinner";3;4;
"diogo";2;2;
"dip";1;1;
"diqu";1;1;
"direita";1;1;
"dirt";1;1;
"disadvantag";1;1;
"disagr";1;1;
"disappoint";2;3;
"discontinu";1;1;
"discount";10;10;
"discov";1;1;
"discoveri";2;3;
"disgorg";1;2;
"disintegr";1;1;
"dispens";1;1;
"displai";10;23;
"disput";1;1;
"disrespect";1;1;
"dissatisfi";1;1;
"dissent";1;1;
"distanc";3;3;
"distinctli";1;2;
"distract";1;1;
"district";2;4;
"ditch";1;1;
"divert";1;1;
"divid";1;1;
"dizzi";1;1;
"dj";1;1;
"dna";1;1;
