"word";"in documents";"total";"att_1"
"snowboard";1;1;
"socialit";1;1;
"southwestern";1;1;
"span";1;1;
"sphinx";1;1;
"spiral";1;1;
"sprai";1;2;
"squar";2;2;
"ssid";10;20;
"st";1;2;
"stage";1;1;
"stai";1;1;
"stand";1;3;
"start";1;1;
"station";6;11;
"statist";10;10;
"steepli";1;1;
"step";1;1;
"stick";1;1;
"store";10;10;
"street";10;11;
"strike";1;1;
"stroll";1;1;
"stun";1;1;
"style";1;1;
"success";1;1;
"suiss";1;1;
"summer";4;7;
"summit";1;2;
"sun";2;2;
"sunglass";1;1;
"sunni";1;1;
"sunris";1;1;
"swiss";2;2;
"switzerland";10;86;
"t";1;1;
"tempcooki";10;20;
"term";10;10;
"terminu";1;1;
"terrac";3;3;
"territori";1;1;
"tessin";1;1;
"thunder";1;1;
"ticino";9;12;
"time";1;1;
"tip";1;1;
"tobleron";1;1;
"token";10;40;
"top";5;6;
"touch";1;1;
"tour";1;1;
"tourist";1;1;
"tout";1;1;
"tower";1;1;
"town";7;11;
"track";10;10;
"trademark";10;10;
"trailhead";1;1;
"train";8;15;
"transport";1;1;
"travel";10;33;
"trendi";1;1;
"trip";10;12;
"tripl";1;1;
"trundl";1;1;
"trust";10;10;
"tumbl";1;1;
"tunnel";2;2;
"turret";1;1;
"twid";10;20;
"twll";10;20;
"u";1;1;
"uncrowd";1;1;
"unesco";1;1;
"unit";10;10;
"univers";1;1;
"upgrad";10;10;
"usabl";10;10;
"user";10;30;
"utmv";10;20;
"utterli";1;1;
"vall";1;1;
"vallei";3;5;
"valuabl";10;10;
"vantag";1;1;
"video";10;10;
"view";10;19;
"villag";3;3;
"visibl";1;1;
"vision";1;1;
"visitor";10;20;
"volum";1;1;"0.0956077047468653"
"vote";10;10;
"walk";5;6;
"wall";1;1;
"wannab";1;1;
"war";1;1;
"water";1;1;
"waterfal";2;3;
"waterfront";1;1;
"wd";10;20;
"wealthi";1;1;
"websit";10;60;
"week";1;1;
"weekend";1;1;
"weekli";10;20;
"west";3;4;
"whisk";1;1;
"windswept";1;1;
"winter";1;1;
"wood";1;1;
"work";10;12;
"world";10;23;
"worthwhil";1;1;
"wörth";1;1;
"xs";10;20;
"year";1;1;"0.0499912366971739"
"zentrum";1;1;
"zermatt";1;6;
