"Date";"Price_ural";"Price_brent";"Price_wti"
5/23/18 12:00 AM;74.0327868852459;78.69;71.85
5/24/18 12:00 AM;75.8;78.9;70.77
5/25/18 12:00 AM;73.4;76.6;67.92
5/26/18 12:00 AM;73.94064814814814;77.27384823848237;69.38840108401084
5/27/18 12:00 AM;73.93655555555554;76.78896825396826;68.75986772486773
5/28/18 12:00 AM;73.4;76.74095238095238;68.70087301587301
5/29/18 12:00 AM;72.5;74.51;66.8
5/30/18 12:00 AM;73.92040935672514;75.89;68.24
5/31/18 12:00 AM;74.8;76.45;66.98
6/1/18 12:00 AM;74.5;74.54;65.81
6/2/18 12:00 AM;73.80483992467043;74.76084795321637;66.22947368421052
6/3/18 12:00 AM;73.6905925925926;74.56531531531532;66.0484084084084
6/4/18 12:00 AM;73.37;73.41;64.76
6/5/18 12:00 AM;73.67272401433692;72.91;65.51
6/6/18 12:00 AM;73.37;73.23;64.75
6/7/18 12:00 AM;73.19302564102566;75.23;65.96
6/8/18 12:00 AM;73.76;75.11;65.77
6/9/18 12:00 AM;72.9602614379085;74.15146031746032;65.78428571428572
6/10/18 12:00 AM;72.94455555555557;74.1559365079365;65.79787301587301
6/11/18 12:00 AM;72.79620634920634;74.58;66.1
6/12/18 12:00 AM;72.77766666666666;74.86;66.38
6/13/18 12:00 AM;72.65;75.07;66.63
6/14/18 12:00 AM;72.40349436392916;74.77;66.91
6/15/18 12:00 AM;72.65;72.02;65.01
6/16/18 12:00 AM;72.06253731343284;74.18673015873016;66.23720634920635
6/17/18 12:00 AM;72.21535353535354;74.18444444444445;66.23907936507936
6/18/18 12:00 AM;70.64;74.87;65.91
6/19/18 12:00 AM;72.19604166666667;74.92;65.09
6/20/18 12:00 AM;72.35817204301075;74.25;65.92
6/21/18 12:00 AM;71.09;72.87;65.68
6/22/18 12:00 AM;71.09;73.67;69.02
6/23/18 12:00 AM;72.51097701149425;74.61612698412698;70.1143492063492
6/24/18 12:00 AM;72.5296551724138;74.6339365079365;70.23660317460318
6/25/18 12:00 AM;71.09;72.82;69.91
6/26/18 12:00 AM;72.8090058479532;73.58;75.23
6/27/18 12:00 AM;71.09;76.09;77.41
6/28/18 12:00 AM;73.10666666666665;76.26;73.45
6/29/18 12:00 AM;75.23;77.44;74.13
6/30/18 12:00 AM;73.59175438596492;75.81930158730158;73.48766381766382
7/1/18 12:00 AM;73.6240350877193;75.83660317460318;73.91702777777778
7/2/18 12:00 AM;75.23;76.71;73.89
7/3/18 12:00 AM;74.19177777777777;75.87;74.19
7/4/18 12:00 AM;75.23;76.99;73.83550264550264
7/5/18 12:00 AM;74.22203354297694;77.09;73.05
7/6/18 12:00 AM;75.23;74.98;73.78
7/7/18 12:00 AM;74.05465811965813;75.84704761904761;72.9045
7/8/18 12:00 AM;74.07408888888888;75.83057142857143;72.3602849002849
7/9/18 12:00 AM;75.23;77.08;73.93
7/10/18 12:00 AM;75.23;77.8;74.11
7/11/18 12:00 AM;73.32396135265701;75.35;70.47
7/12/18 12:00 AM;73.95;72.11;70.28
7/13/18 12:00 AM;73.95;74.11;71.03
7/14/18 12:00 AM;72.68446712018141;73.26549206349206;70.4336507936508
7/15/18 12:00 AM;72.13857777777777;73.20168253968254;70.38584126984126
7/16/18 12:00 AM;69.25;71.03;68.22
7/17/18 12:00 AM;71.51;70.87;68.03
7/18/18 12:00 AM;71.67054507337527;70.52;68.78
7/19/18 12:00 AM;67.83;71.94;69.42
7/20/18 12:00 AM;71.28285440613027;71.99;70.31
7/21/18 12:00 AM;70.92544256120527;72.61088888888888;69.48285714285714
7/22/18 12:00 AM;70.91981167608287;72.65422222222222;69.4996507936508
7/23/18 12:00 AM;69.65;73.45;67.9
7/24/18 12:00 AM;70.15678571428572;73.53;70.77
7/25/18 12:00 AM;69.65;73.67;71.13
7/26/18 12:00 AM;70.17851851851852;74.51;71.59
7/27/18 12:00 AM;71.4;74.84;68.66
7/28/18 12:00 AM;70.29354700854701;73.7226984126984;69.76787301587302
7/29/18 12:00 AM;70.30586666666667;73.71273015873017;69.7591746031746
7/30/18 12:00 AM;71.4;74.99;71.19
7/31/18 12:00 AM;71.4;74.16;69.88
8/1/18 12:00 AM;69.51;72.28;68.8
8/2/18 12:00 AM;70.39128395061728;72.95;68.95
8/3/18 12:00 AM;70.02;72.48;68.49
8/4/18 12:00 AM;70.37021739130435;72.40492063492063;68.6916507936508
8/5/18 12:00 AM;70.36106280193236;72.37387301587302;68.66692063492063
8/6/18 12:00 AM;70.45;72.51;69.01
8/7/18 12:00 AM;71.37;72.31;69.17
8/8/18 12:00 AM;70.2218439716312;70.71;66.92
8/9/18 12:00 AM;69.27;70.55;66.81
8/10/18 12:00 AM;69.27;71.0;67.61
8/11/18 12:00 AM;69.76409586056644;70.62546031746031;67.03603174603175
8/12/18 12:00 AM;69.71108974358974;70.60019047619048;67.00812698412699
8/13/18 12:00 AM;69.58;70.62;67.25
8/14/18 12:00 AM;70.02576519916144;70.77;67.04
8/15/18 12:00 AM;70.14;68.38;65.07
8/16/18 12:00 AM;70.03056565656566;69.21;65.44
8/17/18 12:00 AM;68.99;70.14;65.93
8/18/18 12:00 AM;70.5612865497076;71.23904761904761;67.06888888888889
8/19/18 12:00 AM;70.58428849902535;71.28584126984127;67.0999365079365
8/20/18 12:00 AM;68.99;71.11;66.5
8/21/18 12:00 AM;71.73632323232323;71.65;67.32
8/22/18 12:00 AM;68.99;72.96;67.85
8/23/18 12:00 AM;71.82536687631028;73.73;69.13
8/24/18 12:00 AM;73.67;74.41;69.71
8/25/18 12:00 AM;72.53415094339623;74.40565079365079;68.88819047619046
8/26/18 12:00 AM;72.58385744234802;74.45809523809523;68.91285714285713
8/27/18 12:00 AM;73.7;74.41;69.97
8/28/18 12:00 AM;73.7;75.91;68.54
8/29/18 12:00 AM;73.76584444444444;76.07;69.68
8/30/18 12:00 AM;75.31;77.05;70.25
8/31/18 12:00 AM;75.31;76.94;69.84
9/1/18 12:00 AM;74.44306584362138;76.39536507936508;69.22200542005419
9/2/18 12:00 AM;75.19630303030304;76.40438095238095;69.0139947089947
9/3/18 12:00 AM;75.21361616161614;77.81;68.99632275132277
9/4/18 12:00 AM;76.47;77.51;69.82
9/5/18 12:00 AM;75.48086419753086;76.68;68.69
9/6/18 12:00 AM;75.49;75.67;67.81
9/7/18 12:00 AM;75.49;75.55;67.73
9/8/18 12:00 AM;75.96619047619048;77.33898412698413;68.83359649122806
9/9/18 12:00 AM;75.97319444444445;77.36222222222223;68.75294294294294
9/10/18 12:00 AM;76.07638383838383;76.77;67.55
9/11/18 12:00 AM;75.65;78.22;69.29
9/12/18 12:00 AM;77.16;80.02;70.37
9/13/18 12:00 AM;76.18742222222222;77.66;68.6
9/14/18 12:00 AM;76.33;77.87;68.98
9/15/18 12:00 AM;76.18557777777778;78.53177777777776;69.59825396825397
9/16/18 12:00 AM;76.18886666666667;78.54539682539684;69.6191746031746
9/17/18 12:00 AM;76.23;78.22;68.86
9/18/18 12:00 AM;76.23;79.25;69.87
9/19/18 12:00 AM;76.68864734299517;79.43;71.08
9/20/18 12:00 AM;76.38;79.03;70.77
9/21/18 12:00 AM;76.38;78.9;70.8
9/22/18 12:00 AM;77.47004830917875;80.37726984126984;71.55615873015873
9/23/18 12:00 AM;77.49954106280191;80.42298412698412;71.5968253968254
9/24/18 12:00 AM;76.38;80.89;73.23
9/25/18 12:00 AM;78.073012345679;82.21;73.4
9/26/18 12:00 AM;78.18;81.87;72.22
9/27/18 12:00 AM;78.23;81.54;72.18
9/28/18 12:00 AM;79.85;82.72;73.16
9/29/18 12:00 AM;79.1140589569161;83.62241269841269;73.96885714285715
9/30/18 12:00 AM;79.15183006535946;83.67949206349205;74.0051746031746
10/1/18 12:00 AM;81.12;84.94;75.37
10/2/18 12:00 AM;79.68576923076924;85.63;75.16
10/3/18 12:00 AM;81.99;85.45;76.4
10/4/18 12:00 AM;79.7077366255144;86.07;74.44
10/5/18 12:00 AM;81.64;85.12;74.26
10/6/18 12:00 AM;79.70477582846004;84.30288888888887;74.07968253968254
10/7/18 12:00 AM;79.53750487329434;84.2649523809524;74.04523809523809
10/8/18 12:00 AM;80.58;84.22;74.27
10/9/18 12:00 AM;79.25518518518518;85.16;74.95
